기준분기,업종,서비스_업종_코드,1년_생존율,3년_생존율,5년_생존율
20231,외식업,CS100001,74,49,36.8
20232,외식업,CS100001,74,49,36.8
20233,외식업,CS100001,74,49,36.8
20234,외식업,CS100001,74,49,36.8
20241,외식업,CS100001,75.5,54.5,42.4
20242,외식업,CS100001,75.5,54.5,42.4
20243,외식업,CS100001,75.5,54.5,42.4
20244,외식업,CS100001,75.5,54.5,42.4
20231,외식업,CS100002,76.7,33.3,26.7
20232,외식업,CS100002,76.7,33.3,26.7
20233,외식업,CS100002,76.7,33.3,26.7
20234,외식업,CS100002,76.7,33.3,26.7
20241,외식업,CS100002,88.2,73.5,52.9
20242,외식업,CS100002,88.2,73.5,52.9
20243,외식업,CS100002,88.2,73.5,52.9
20244,외식업,CS100002,88.2,73.5,52.9
20231,외식업,CS100003,73.7,52.6,36.8
20232,외식업,CS100003,73.7,52.6,36.8
20233,외식업,CS100003,73.7,52.6,36.8
20234,외식업,CS100003,73.7,52.6,36.8
20241,외식업,CS100003,78.9,50.9,35.1
20242,외식업,CS100003,78.9,50.9,35.1
20243,외식업,CS100003,78.9,50.9,35.1
20244,외식업,CS100003,78.9,50.9,35.1
20231,외식업,CS100004,83.7,67.3,51
20232,외식업,CS100004,83.7,67.3,51
20233,외식업,CS100004,83.7,67.3,51
20234,외식업,CS100004,83.7,67.3,51
20241,외식업,CS100004,80.9,51.5,36.8
20242,외식업,CS100004,80.9,51.5,36.8
20243,외식업,CS100004,80.9,51.5,36.8
20244,외식업,CS100004,80.9,51.5,36.8
20231,외식업,CS100005,81.5,44.4,33.3
20232,외식업,CS100005,81.5,44.4,33.3
20233,외식업,CS100005,81.5,44.4,33.3
20234,외식업,CS100005,81.5,44.4,33.3
20241,외식업,CS100005,84.2,63.2,55.3
20242,외식업,CS100005,84.2,63.2,55.3
20243,외식업,CS100005,84.2,63.2,55.3
20244,외식업,CS100005,84.2,63.2,55.3
20231,외식업,CS100006,75.7,51.4,43.2
20232,외식업,CS100006,75.7,51.4,43.2
20233,외식업,CS100006,75.7,51.4,43.2
20234,외식업,CS100006,75.7,51.4,43.2
20241,외식업,CS100006,81.4,46.5,27.9
20242,외식업,CS100006,81.4,46.5,27.9
20243,외식업,CS100006,81.4,46.5,27.9
20244,외식업,CS100006,81.4,46.5,27.9
