행정구역,2023년 1분기,2023년 2분기,2023년 3분기,2023년 4분기,2024년 1분기,2024년 2분기,2024년 3분기,2024년 4분기
서울시 전체,"143,793","141,418","138,835","137,570","136,609","136,071","135,190","137,164"
종로구,"194,714","197,186","200,889","201,913","202,740","195,617","190,088","188,914"
중구,"291,943","292,292","277,839","276,336","271,713","269,374","265,240","264,923"
용산구,"144,120","142,058","140,096","137,168","129,649","125,065","121,634","120,697"
성동구,"205,485","225,218","195,176","183,176","166,215","136,247","134,105","133,773"
광진구,"111,289","106,205","103,816","105,832","106,228","106,244","106,222","107,476"
동대문구,"96,876","94,172","92,442","91,323","91,071","91,638","92,873","95,424"
중랑구,"83,917","82,183","87,387","89,367","89,420","89,195","85,807","84,492"
성북구,"101,887","99,996","106,443","111,041","111,551","111,710","110,002","104,950"
강북구,"83,872","84,816","82,743","82,972","88,285","90,963","97,359","100,569"
도봉구,"102,594","124,755","132,253","131,424","122,372","105,693","98,336","98,219"
노원구,"123,834","116,570","114,559","112,598","110,900","115,201","113,413","125,841"
은평구,"99,050","93,629","92,679","94,233","100,502","100,741","102,171","102,342"
서대문구,"125,736","127,009","130,294","140,149","144,423","134,820","127,105","120,123"
마포구,"167,493","141,777","135,340","138,163","140,886","144,081","145,170","145,210"
양천구,"109,483","119,317","115,840","114,166","112,408","108,209","109,589","110,045"
강서구,"130,369","133,012","123,036","125,771","127,024","129,606","130,326","130,283"
구로구,"135,428","129,738","133,486","133,081","135,123","130,869","134,996","143,653"
금천구,"99,390","105,422","107,607","105,720","110,668","115,814","118,866","122,249"
영등포구,"117,567","122,432","118,001","116,895","118,742","116,223","125,447","124,336"
동작구,"132,719","131,720","144,797","141,411","141,069","140,897","129,239","131,339"
관악구,"112,783","114,779","115,782","117,480","116,083","119,153","122,687","121,066"
서초구,"142,051","139,196","134,978","135,964","136,637","142,327","143,048","142,364"
강남구,"174,024","173,069","170,684","171,151","175,465","181,017","190,833","197,473"
송파구,"170,118","146,868","136,609","128,877","127,058","130,984","129,781","132,591"
강동구,"116,737","118,777","119,949","121,075","122,369","119,185","117,589","118,656"
