행정구역,2023년 1분기,2023년 2분기,2023년 3분기,2023년 4분기,2024년 1분기,2024년 2분기,2024년 3분기,2024년 4분기
왕십리2동,"181,907","209,598","167,918","153,810","142,977","108,598","106,072","113,270"
왕십리도선동,"203,824","239,674","198,735","198,602","184,699","154,104","153,993","144,794"
마장동,"170,732","165,478","155,919","146,886","139,269","113,491","109,986","117,581"
사근동,"320,184","358,070","284,256","265,502","193,654","142,698","136,773","126,023"
행당1동,"224,350","226,068","211,703","175,756","147,206","149,223","172,644","170,098"
행당2동,"211,680","192,822","181,537","174,233","181,856","135,405","133,271","128,315"
응봉동,"286,227","296,341","263,989","149,194","131,319","105,835","67,478","64,796"
금호1가동,"161,099","165,635","184,490","179,939","151,253","121,496","95,382","105,721"
금호2·3가동,"169,363","183,309","179,505","164,627","141,475","122,676","108,182","109,836"
금호4가동,"247,148","238,589","221,042","185,407","162,331","130,106","146,499","151,448"
옥수동,"195,159","324,194","236,472","222,394","195,697","128,260","133,368","132,307"
성수1가1동,"197,818","224,435","211,916","184,395","168,044","116,148","115,174","113,384"
성수1가2동,"258,187","285,984","243,256","233,783","210,704","163,250","156,603","152,168"
성수2가1동,"196,739","224,887","187,660","163,426","141,089","99,607","91,239","91,114"
성수2가3동,"203,812","233,531","210,446","200,762","178,275","157,620","157,910","157,926"
송정동,"190,125","279,367","182,075","169,745","142,280","95,595","101,119","109,474"
용답동,"129,943","126,114","119,463","117,074","115,146","121,787","119,069","122,047"
