TA_YM,행정동_코드,행정동_코드_명,서비스_업종_코드,세분류,카테고리,기준_년분기_코드,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
2019-01-01,11200520,왕십리2동,CS100001,한식,음식업,20191,41,43,5,2,0,0,2
2019-02-01,11200520,왕십리2동,CS100001,한식,음식업,20191,41,43,5,2,0,0,2
2019-03-01,11200520,왕십리2동,CS100001,한식,음식업,20191,41,43,5,2,0,0,2
2019-01-01,11200520,왕십리2동,CS100002,중식,음식업,20191,2,3,0,0,0,0,1
2019-02-01,11200520,왕십리2동,CS100002,중식,음식업,20191,2,3,0,0,0,0,1
2019-03-01,11200520,왕십리2동,CS100002,중식,음식업,20191,2,3,0,0,0,0,1
2019-01-01,11200520,왕십리2동,CS100003,일식,음식업,20191,2,2,0,0,0,0,0
2019-02-01,11200520,왕십리2동,CS100003,일식,음식업,20191,2,2,0,0,0,0,0
2019-03-01,11200520,왕십리2동,CS100003,일식,음식업,20191,2,2,0,0,0,0,0
2019-01-01,11200520,왕십리2동,CS100004,양식,음식업,20191,2,2,0,0,0,0,0
2019-02-01,11200520,왕십리2동,CS100004,양식,음식업,20191,2,2,0,0,0,0,0
2019-03-01,11200520,왕십리2동,CS100004,양식,음식업,20191,2,2,0,0,0,0,0
2019-01-01,11200520,왕십리2동,CS100005,제과점,음료/디저트업,20191,2,3,0,0,0,0,1
2019-02-01,11200520,왕십리2동,CS100005,제과점,음료/디저트업,20191,2,3,0,0,0,0,1
2019-03-01,11200520,왕십리2동,CS100005,제과점,음료/디저트업,20191,2,3,0,0,0,0,1
2019-01-01,11200520,왕십리2동,CS100006,페스트푸드/분식류,음식업,20191,1,5,0,0,0,0,4
2019-02-01,11200520,왕십리2동,CS100006,페스트푸드/분식류,음식업,20191,1,5,0,0,0,0,4
2019-03-01,11200520,왕십리2동,CS100006,페스트푸드/분식류,음식업,20191,1,5,0,0,0,0,4
2019-01-01,11200520,왕십리2동,CS100007,치킨전문점,음식업,20191,5,10,0,0,0,0,5
2019-02-01,11200520,왕십리2동,CS100007,치킨전문점,음식업,20191,5,10,0,0,0,0,5
2019-03-01,11200520,왕십리2동,CS100007,치킨전문점,음식업,20191,5,10,0,0,0,0,5
2019-01-01,11200520,왕십리2동,CS100008,페스트푸드/분식류,음식업,20191,6,9,22,2,22,2,3
2019-02-01,11200520,왕십리2동,CS100008,페스트푸드/분식류,음식업,20191,6,9,22,2,22,2,3
2019-03-01,11200520,왕십리2동,CS100008,페스트푸드/분식류,음식업,20191,6,9,22,2,22,2,3
2019-01-01,11200520,왕십리2동,CS100009,호프-간이주점,주점업,20191,8,9,0,0,22,2,1
2019-02-01,11200520,왕십리2동,CS100009,호프-간이주점,주점업,20191,8,9,0,0,22,2,1
2019-03-01,11200520,왕십리2동,CS100009,호프-간이주점,주점업,20191,8,9,0,0,22,2,1
2019-01-01,11200520,왕십리2동,CS100010,커피전문점,음료/디저트업,20191,8,10,10,1,10,1,2
2019-02-01,11200520,왕십리2동,CS100010,커피전문점,음료/디저트업,20191,8,10,10,1,10,1,2
2019-03-01,11200520,왕십리2동,CS100010,커피전문점,음료/디저트업,20191,8,10,10,1,10,1,2
2019-01-01,11200520,왕십리2동,CS300001,식품소매,식품/가공소매업,20191,12,17,6,1,0,0,5
2019-02-01,11200520,왕십리2동,CS300001,식품소매,식품/가공소매업,20191,12,17,6,1,0,0,5
2019-03-01,11200520,왕십리2동,CS300001,식품소매,식품/가공소매업,20191,12,17,6,1,0,0,5
2019-01-01,11200520,왕십리2동,CS300006,식품소매,식품/가공소매업,20191,2,2,0,0,0,0,0
2019-02-01,11200520,왕십리2동,CS300006,식품소매,식품/가공소매업,20191,2,2,0,0,0,0,0
2019-03-01,11200520,왕십리2동,CS300006,식품소매,식품/가공소매업,20191,2,2,0,0,0,0,0
2019-01-01,11200520,왕십리2동,CS300007,식품소매,식품/가공소매업,20191,6,6,17,1,0,0,0
